sample,search,reference,metadata,gt_x,gt_y,pred_x,pred_y,error_px,zncc_score,runtime_ms,scale_used
sample_000,dataset\search\sample_000_search.png,dataset\reference\sample_000_ref.png,dataset\metadata\sample_000_metadata.json,452.4,263.2,452.3719201385975,263.1996335685253,0.028082252196157908,0.9261062145233154,114.3357000000833,0.1
sample_001,dataset\search\sample_001_search.png,dataset\reference\sample_001_ref.png,dataset\metadata\sample_001_metadata.json,228.27272727272728,127.63636363636364,82.71543124318123,673.9816792029887,565.402626690952,0.8722681999206543,44.81609999857028,0.1
sample_002,dataset\search\sample_002_search.png,dataset\reference\sample_002_ref.png,dataset\metadata\sample_002_metadata.json,833.1,898.1,833.0906389951706,898.0701034590602,0.031327808279283935,0.9631920456886292,43.805600002087886,0.1
sample_003,dataset\search\sample_003_search.png,dataset\reference\sample_003_ref.png,dataset\metadata\sample_003_metadata.json,499.09090909090907,679.9090909090909,61.51034912467003,823.6898740231991,460.5970690888877,0.5713810324668884,46.684700002515456,0.1
sample_004,dataset\search\sample_004_search.png,dataset\reference\sample_004_ref.png,dataset\metadata\sample_004_metadata.json,158.7,869.0,158.69433331489563,869.0641648694873,0.06441460856352663,0.9716616272926331,44.955000001209555,0.1
sample_005,dataset\search\sample_005_search.png,dataset\reference\sample_005_ref.png,dataset\metadata\sample_005_metadata.json,568.4444444444445,828.4444444444445,789.6335681378841,697.0462043993175,257.27441755298673,0.8296185731887817,46.389899998757755,0.1
sample_006,dataset\search\sample_006_search.png,dataset\reference\sample_006_ref.png,dataset\metadata\sample_006_metadata.json,113.11111111111111,329.55555555555554,643.7546237111092,770.7243609130383,690.0814823519124,0.5470776557922363,44.89660000035656,0.1
sample_007,dataset\search\sample_007_search.png,dataset\reference\sample_007_ref.png,dataset\metadata\sample_007_metadata.json,152.33333333333334,498.6666666666667,595.2742803692818,321.7244194149971,476.9750951816812,0.8095295429229736,45.153799997933675,0.1
sample_008,dataset\search\sample_008_search.png,dataset\reference\sample_008_ref.png,dataset\metadata\sample_008_metadata.json,121.88888888888889,611.3333333333334,834.4677273929119,345.0797794982791,760.6967569363883,0.6374046802520752,43.70980000021518,0.1
sample_009,dataset\search\sample_009_search.png,dataset\reference\sample_009_ref.png,dataset\metadata\sample_009_metadata.json,641.1,690.2,641.1052360832691,690.1635847091675,0.036789808023706856,0.955666184425354,44.853200000943616,0.1
sample_010,dataset\search\sample_010_search.png,dataset\reference\sample_010_ref.png,dataset\metadata\sample_010_metadata.json,684.6666666666666,572.4444444444445,726.4551294445992,217.01727570220828,357.8753245216338,0.6332464814186096,44.401399998605484,0.1
sample_011,dataset\search\sample_011_search.png,dataset\reference\sample_011_ref.png,dataset\metadata\sample_011_metadata.json,838.1818181818181,362.6363636363636,74.9914532341063,250.93907792121172,771.3208261062019,0.4958323538303375,46.885700001439545,0.1
sample_012,dataset\search\sample_012_search.png,dataset\reference\sample_012_ref.png,dataset\metadata\sample_012_metadata.json,527.8,206.9,527.8252557516098,206.90286441147327,0.025417667919510598,0.97616046667099,44.25280000214116,0.1
sample_013,dataset\search\sample_013_search.png,dataset\reference\sample_013_ref.png,dataset\metadata\sample_013_metadata.json,654.8888888888889,798.4444444444445,125.37758031487465,266.39189237356186,750.6411553284993,0.5174211859703064,47.63870000169845,0.1
sample_014,dataset\search\sample_014_search.png,dataset\reference\sample_014_ref.png,dataset\metadata\sample_014_metadata.json,868.8,570.9,868.8129362761974,570.909501299262,0.016050605269735587,0.862090528011322,44.66899999897578,0.1
