sample,gt_x,gt_y,pred_x,pred_y,error_px,zncc_score,census_score,census_min,census_quality,decision,scale,rotation_deg,feature_size_factor,runtime_ms,beam_spot_nm
sample_000,452.4,263.2,452.0,263.0,0.44721359549993256,0.9847820997238159,0.6012256682961202,0.5654693486590039,0.5904987724049853,ZNCC_GATE_REJECT,0.1,2.0,1.0,2875.689499996952,0.0
sample_001,228.27272727272728,127.63636363636364,228.0,128.0,0.4545454545454561,0.9849807620048523,0.6361905544597852,0.5759985207100591,0.6181329443348673,ZNCC_GATE_REJECT,0.09,-2.0,1.0,2728.192599999602,0.0
sample_002,833.1,898.1,833.0,898.0,0.14142135623734164,0.9631920456886292,0.613573769469033,0.5655469678953626,0.5991657289969319,ZNCC,0.1,0.0,1.0,2725.498499999958,0.0
sample_003,499.09090909090907,679.9090909090909,499.0,680.0,0.12856486930664865,0.9497200846672058,0.6324991781722551,0.5584935897435896,0.6102975016436554,CENSUS_GATE,0.09,-1.0,1.0,2726.862200001051,0.0
sample_004,158.7,869.0,159.0,869.0,0.30000000000001137,0.9925686717033386,0.6744507078091435,0.6511593341260404,0.6674632957042126,ZNCC_GATE_REJECT,0.1,-1.0,1.0,2698.77329999872,0.0
sample_005,568.4444444444445,828.4444444444445,568.0,828.0,0.6285393610547267,0.9756193161010742,0.634900503084294,0.5945391414141414,0.6227920945832482,ZNCC_GATE_REJECT,0.11,-1.0,1.0,2782.8686000029847,0.0
sample_006,113.11111111111111,329.55555555555554,113.0,330.0,0.45812284729086417,0.9222002029418945,0.6374203501901379,0.6036501377410468,0.6272892864554105,ZNCC_GATE_REJECT,0.11,-2.0,1.0,3420.602799997141,0.0
sample_007,152.33333333333334,498.6666666666667,152.0,499.0,0.47140452079102496,0.9653242230415344,0.6541038492165978,0.6269728535353536,0.6459645505122245,ZNCC_GATE_REJECT,0.11,-1.0,1.0,2791.7206000020087,0.0
sample_008,121.88888888888889,611.3333333333334,122.0,611.0,0.35136418446319023,0.9217422008514404,0.5965291951435121,0.544727578818488,0.5809887102460048,ZNCC_GATE_REJECT,0.11,-2.0,1.0,2746.2518000029377,0.0
sample_009,641.1,690.2,641.0,690.0,0.2236067977500298,0.955666184425354,0.6234006033381777,0.5446393182718985,0.5997722178182939,ZNCC_GATE_REJECT,0.1,0.0,1.0,2736.5371999985655,0.0
sample_010,684.6666666666666,572.4444444444445,685.0,127.0,445.4445691638084,0.9094865918159485,0.5905063954663957,0.5590672348484849,0.5810746472810224,ZNCC_GATE_REJECT,0.11,2.0,1.0,2777.834399999847,0.0
sample_011,838.1818181818181,362.6363636363636,838.0,363.0,0.406557814090857,0.9597027897834778,0.7136204251588868,0.679302268244576,0.7033249780845935,ZNCC_GATE_REJECT,0.09,-1.0,1.0,2787.8530000016326,0.0
sample_012,527.8,206.9,528.0,207.0,0.2236067977500171,0.9595043659210205,0.671340353929038,0.6349088386841062,0.6604108993555584,CENSUS_GATE,0.1,-1.0,1.0,2893.4875999984797,0.0
sample_013,654.8888888888889,798.4444444444445,655.0,798.0,0.4581228472908573,0.9171134233474731,0.5893134210635393,0.5402127333945517,0.574583214762843,ZNCC_GATE_REJECT,0.11,-1.0,1.0,3264.5088999997824,0.0
sample_014,868.8,570.9,869.0,571.0,0.2236067977500298,0.9358189105987549,0.6345481019069008,0.5862499999999999,0.6200586713348305,ZNCC_GATE_REJECT,0.1,-1.0,1.0,3004.4011999998474,0.0
sample_015,181.11111111111111,376.0,181.0,376.0,0.11111111111111427,0.9720348119735718,0.6488672889657838,0.6185338230792776,0.639767249199832,CENSUS_GATE,0.11,-1.0,1.0,2960.1600999994844,0.0
sample_016,873.8888888888889,462.22222222222223,874.0,462.0,0.248451997499971,0.9472287893295288,0.6240193979661408,0.5757958371594736,0.6095523297241406,ZNCC_GATE_REJECT,0.11,-1.0,1.0,2888.3625000016764,0.0
sample_017,778.7272727272727,623.4545454545455,779.0,623.0,0.5300865358950522,0.9381313323974609,0.673453594126671,0.5898668639053255,0.6483775750602674,CENSUS_GATE,0.09,1.0,1.0,3000.881100000697,0.0
sample_018,646.2727272727273,544.2727272727273,646.0,544.0,0.3856946079199058,0.9662190675735474,0.6832949813719044,0.6325813609467457,0.6680808952443567,ZNCC_GATE_REJECT,0.09,1.0,1.0,3006.7018999980064,0.0
sample_019,629.7777777777778,227.22222222222223,630.0,227.0,0.3142696805273232,0.960926353931427,0.599566638143323,0.5686409550045914,0.5902889332017035,ZNCC_GATE_REJECT,0.11,0.0,1.0,2874.6036999982607,0.0
sample_020,837.0,217.4,837.0,217.0,0.4000000000000057,0.9876652956008911,0.6538650954429129,0.5986111111111112,0.6372889001433724,ZNCC_GATE_REJECT,0.1,-2.0,1.0,2935.614300000452,0.0
sample_021,471.0,159.63636363636363,471.0,160.0,0.36363636363637397,0.9597396850585938,0.656996493534955,0.6095290927021697,0.6427562732851194,ZNCC_GATE_REJECT,0.09,1.0,1.0,3593.273300000874,0.0
sample_022,270.3,491.2,270.0,491.0,0.36055512754640207,0.9699706435203552,0.650686021931563,0.6160919540229886,0.6403078015589906,CENSUS_GATE,0.1,-1.0,1.0,3174.2378000017197,0.0
sample_023,618.4444444444445,596.5555555555555,618.0,597.0,0.6285393610547267,0.9166220426559448,0.6200794990227401,0.5796602387511478,0.6079537209412623,ZNCC_GATE_REJECT,0.11,-1.0,1.0,2900.629300002038,0.0
sample_024,603.5454545454545,500.0,604.0,500.0,0.4545454545454959,0.9825892448425293,0.6440184637300022,0.6084196252465484,0.633338812184966,ZNCC_GATE_REJECT,0.09,2.0,1.0,2879.5252999989316,0.0
sample_025,286.6,415.5,287.0,416.0,0.6403124237432707,0.8525418043136597,0.5773916572471534,0.5371759259259259,0.565326937850785,CENSUS_GATE,0.1,-1.0,1.0,3442.7365999981703,0.0
sample_026,376.6363636363636,340.3636363636364,377.0,340.0,0.5142594772265946,0.9581459760665894,0.6317389875082183,0.5598496055226825,0.6101721729125575,ZNCC_GATE_REJECT,0.09,2.0,1.0,4111.59680000128,0.0
sample_027,431.5,543.1,431.0,543.0,0.509901951359283,0.9807397723197937,0.6690025408219687,0.6328775267538644,0.6581650366015375,ZNCC_GATE_REJECT,0.1,-1.0,1.0,3033.73940000165,0.0
sample_028,389.6,469.0,390.0,469.0,0.39999999999997726,0.9808196425437927,0.6351297262713896,0.56624058660325,0.6144629843709477,ZNCC_GATE_REJECT,0.1,-1.0,1.0,2934.6457999999984,0.0
sample_029,434.45454545454544,608.2727272727273,434.0,608.0,0.5300865358950034,0.9662437438964844,0.671789392943239,0.6442307692307692,0.663521805829498,CENSUS_GATE,0.09,1.0,1.0,2852.549299997918,0.0
