sample_id,search,reference,metadata,seed,architecture,difficulty,scale,rotation_deg,feature_size_factor,target_center_x,target_center_y
sample_000,search/sample_000_search.png,reference/sample_000_ref.png,metadata/sample_000_metadata.json,20260813,DRAM_style_continuous_periodic,easy,10.0,-2.0,2.0,452.4,263.2
sample_001,search/sample_001_search.png,reference/sample_001_ref.png,metadata/sample_001_metadata.json,20268732,DRAM_style_continuous_periodic,easy,11.0,2.0,2.0,228.27272727272728,127.63636363636364
sample_002,search/sample_002_search.png,reference/sample_002_ref.png,metadata/sample_002_metadata.json,20276651,DRAM_style_continuous_periodic,easy,10.0,0.0,0.5,833.1,898.1
sample_003,search/sample_003_search.png,reference/sample_003_ref.png,metadata/sample_003_metadata.json,20284570,DRAM_style_continuous_periodic,easy,11.0,0.0,1.0,499.09090909090907,679.9090909090909
sample_004,search/sample_004_search.png,reference/sample_004_ref.png,metadata/sample_004_metadata.json,20292489,DRAM_style_continuous_periodic,easy,10.0,1.0,2.0,158.7,869.0
sample_005,search/sample_005_search.png,reference/sample_005_ref.png,metadata/sample_005_metadata.json,20300408,DRAM_style_continuous_periodic,easy,9.0,1.0,2.0,568.4444444444445,828.4444444444445
sample_006,search/sample_006_search.png,reference/sample_006_ref.png,metadata/sample_006_metadata.json,20308327,DRAM_style_continuous_periodic,moderate,9.0,2.0,0.5,113.11111111111111,329.55555555555554
sample_007,search/sample_007_search.png,reference/sample_007_ref.png,metadata/sample_007_metadata.json,20316246,DRAM_style_continuous_periodic,moderate,9.0,1.0,1.0,152.33333333333334,498.6666666666667
sample_008,search/sample_008_search.png,reference/sample_008_ref.png,metadata/sample_008_metadata.json,20324165,DRAM_style_continuous_periodic,moderate,9.0,2.0,0.5,121.88888888888889,611.3333333333334
sample_009,search/sample_009_search.png,reference/sample_009_ref.png,metadata/sample_009_metadata.json,20332084,DRAM_style_continuous_periodic,moderate,10.0,0.0,0.5,641.1,690.2
sample_010,search/sample_010_search.png,reference/sample_010_ref.png,metadata/sample_010_metadata.json,20340003,DRAM_style_continuous_periodic,moderate,9.0,-1.5,0.5,684.6666666666666,572.4444444444445
sample_011,search/sample_011_search.png,reference/sample_011_ref.png,metadata/sample_011_metadata.json,20347922,DRAM_style_continuous_periodic,moderate,11.0,1.0,1.0,838.1818181818181,362.6363636363636
sample_012,search/sample_012_search.png,reference/sample_012_ref.png,metadata/sample_012_metadata.json,20355841,DRAM_style_continuous_periodic,moderate,10.0,0.0,1.0,527.8,206.9
sample_013,search/sample_013_search.png,reference/sample_013_ref.png,metadata/sample_013_metadata.json,20363760,DRAM_style_continuous_periodic,moderate,9.0,1.5,0.5,654.8888888888889,798.4444444444445
sample_014,search/sample_014_search.png,reference/sample_014_ref.png,metadata/sample_014_metadata.json,20371679,DRAM_style_continuous_periodic,moderate,10.0,1.0,0.5,868.8,570.9
sample_015,search/sample_015_search.png,reference/sample_015_ref.png,metadata/sample_015_metadata.json,20379598,DRAM_style_continuous_periodic,ambiguous,9.0,0.0,2.0,181.11111111111111,376.0
sample_016,search/sample_016_search.png,reference/sample_016_ref.png,metadata/sample_016_metadata.json,20387517,DRAM_style_continuous_periodic,ambiguous,9.0,1.0,0.5,873.8888888888889,462.22222222222223
sample_017,search/sample_017_search.png,reference/sample_017_ref.png,metadata/sample_017_metadata.json,20395436,DRAM_style_continuous_periodic,ambiguous,11.0,0.0,1.0,778.7272727272727,623.4545454545455
sample_018,search/sample_018_search.png,reference/sample_018_ref.png,metadata/sample_018_metadata.json,20403355,DRAM_style_continuous_periodic,ambiguous,11.0,-1.0,1.0,646.2727272727273,544.2727272727273
sample_019,search/sample_019_search.png,reference/sample_019_ref.png,metadata/sample_019_metadata.json,20411274,DRAM_style_continuous_periodic,ambiguous,9.0,0.0,1.0,629.7777777777778,227.22222222222223
sample_020,search/sample_020_search.png,reference/sample_020_ref.png,metadata/sample_020_metadata.json,20419193,DRAM_style_continuous_periodic,ambiguous,10.0,2.0,2.0,837.0,217.4
sample_021,search/sample_021_search.png,reference/sample_021_ref.png,metadata/sample_021_metadata.json,20427112,DRAM_style_continuous_periodic,ambiguous,11.0,-1.5,1.0,471.0,159.63636363636363
sample_022,search/sample_022_search.png,reference/sample_022_ref.png,metadata/sample_022_metadata.json,20435031,DRAM_style_continuous_periodic,ambiguous,10.0,0.0,2.0,270.3,491.2
sample_023,search/sample_023_search.png,reference/sample_023_ref.png,metadata/sample_023_metadata.json,20442950,DRAM_style_continuous_periodic,highly_repetitive,9.0,1.0,0.5,618.4444444444445,596.5555555555555
sample_024,search/sample_024_search.png,reference/sample_024_ref.png,metadata/sample_024_metadata.json,20450869,DRAM_style_continuous_periodic,highly_repetitive,11.0,-2.0,2.0,603.5454545454545,500.0
sample_025,search/sample_025_search.png,reference/sample_025_ref.png,metadata/sample_025_metadata.json,20458788,DRAM_style_continuous_periodic,highly_repetitive,10.0,0.0,0.5,286.6,415.5
sample_026,search/sample_026_search.png,reference/sample_026_ref.png,metadata/sample_026_metadata.json,20466707,DRAM_style_continuous_periodic,highly_repetitive,11.0,-2.0,1.0,376.6363636363636,340.3636363636364
